crystal_system,seed,feature,mae_increase,within_seed_std,test_mae,rank_within_seed
Monoclinic,11,MagpieData minimum Number,0.00023512007739168173,0.00013786351656463618,0.5861431574274213,96.0
Monoclinic,11,MagpieData maximum Number,0.004416891075098128,0.0004611840214224268,0.5861431574274213,41.0
Monoclinic,11,MagpieData range Number,0.002747689067374215,0.0003382446194945919,0.5861431574274213,51.0
Monoclinic,11,MagpieData mean Number,0.002241624387568697,0.0003263731387350149,0.5861431574274213,55.0
Monoclinic,11,MagpieData avg_dev Number,0.003294776491400464,0.0003553291107809031,0.5861431574274213,49.0
Monoclinic,11,MagpieData mode Number,1.4760625863075027e-05,0.00011455414995628037,0.5861431574274213,118.0
Monoclinic,11,MagpieData minimum MendeleevNumber,0.0012605087402222325,0.0003600369916290941,0.5861431574274213,66.0
Monoclinic,11,MagpieData maximum MendeleevNumber,0.0011526338584917362,0.00039116958965941534,0.5861431574274213,68.0
Monoclinic,11,MagpieData range MendeleevNumber,0.000919371447613937,0.0005060613562916439,0.5861431574274213,71.0
Monoclinic,11,MagpieData mean MendeleevNumber,0.005427470574335192,0.0008357856645190949,0.5861431574274213,34.0
Monoclinic,11,MagpieData avg_dev MendeleevNumber,0.0022958928237791333,0.00045121835351997943,0.5861431574274213,54.0
Monoclinic,11,MagpieData mode MendeleevNumber,2.1068491200537665e-06,5.7683022963996424e-05,0.5861431574274213,121.0
Monoclinic,11,MagpieData minimum AtomicWeight,6.32515989225535e-05,0.00021177091796359147,0.5861431574274213,113.0
Monoclinic,11,MagpieData maximum AtomicWeight,0.004308941806587141,0.00033210192450675876,0.5861431574274213,44.0
Monoclinic,11,MagpieData range AtomicWeight,0.002009121517082013,0.0003254343789658109,0.5861431574274213,58.0
Monoclinic,11,MagpieData mean AtomicWeight,0.002386434931043513,0.0003316182735654556,0.5861431574274213,53.0
Monoclinic,11,MagpieData avg_dev AtomicWeight,0.0019833514381940366,0.0004658448414755734,0.5861431574274213,59.0
Monoclinic,11,MagpieData mode AtomicWeight,0.00023645254441131413,0.00017523751138170225,0.5861431574274213,95.0
Monoclinic,11,MagpieData minimum MeltingT,-9.799588119594472e-05,7.534623585359461e-05,0.5861431574274213,137.0
Monoclinic,11,MagpieData maximum MeltingT,0.006389746648188877,0.0006865670558692872,0.5861431574274213,29.0
Monoclinic,11,MagpieData range MeltingT,0.012509454759625416,0.0007973902668013544,0.5861431574274213,16.0
Monoclinic,11,MagpieData mean MeltingT,0.009024641803347121,0.0004072138785701653,0.5861431574274213,20.0
Monoclinic,11,MagpieData avg_dev MeltingT,0.005885009362428017,0.00035368108502581793,0.5861431574274213,30.0
Monoclinic,11,MagpieData mode MeltingT,-1.803073128876509e-05,1.4203970408145032e-05,0.5861431574274213,136.0
