crystal_system,feature,mean_mae_increase,std_across_seeds,mean_within_seed_std,top3_seed_count,positive_seed_count,mean_rank
Cubic,formation_energy_per_atom,0.28262423449456714,0.02424038123161787,0.023056263790087857,5,5,1.0
Cubic,energy_above_hull,0.21607943042601757,0.020265657323303564,0.019614233278316292,5,5,2.0
Cubic,MagpieData avg_dev NdValence,0.11912363364024443,0.019507271630892352,0.014039282592014927,4,5,3.2
Cubic,MagpieData mean NdValence,0.07019021058560132,0.025036479922254443,0.011717278723101824,1,5,3.8
Cubic,nsites,0.030338496159415584,0.00943827722535303,0.006876604657760155,0,5,5.4
Cubic,density,0.021646235618142474,0.007819377271594949,0.004697001489449052,0,5,7.4
Cubic,MagpieData mean NfUnfilled,0.020387671720631995,0.0023140117483314154,0.002383145540096209,0,5,7.8
Cubic,MagpieData mean NpValence,0.01801530962704548,0.003038302952551864,0.0040707305751791194,0,5,8.6
Cubic,volume,0.015872357944615022,0.004564555934111383,0.0030801331206520032,0,5,9.8
Cubic,MagpieData avg_dev CovalentRadius,0.013830843669489789,0.004913951477530659,0.00260145592809884,0,5,12.4
Cubic,MagpieData maximum NdValence,0.013734491188596496,0.008062901536095792,0.0032422749689271038,0,5,17.0
Cubic,MagpieData mean NpUnfilled,0.012769403579248051,0.00584355217811253,0.0018404069823212935,0,5,16.0
Cubic,MagpieData avg_dev Electronegativity,0.011540774398734776,0.0018315240564042296,0.0015991209160800737,0,5,14.4
Cubic,MagpieData avg_dev NfUnfilled,0.011316755841283782,0.0022604669166075442,0.001325001520574374,0,5,16.0
Cubic,MagpieData maximum Number,0.0112409019787116,0.0029453476650248478,0.0019352053555713432,0,5,15.8
Cubic,MagpieData maximum AtomicWeight,0.010687757295654424,0.0026602559159868908,0.0018731841433629118,0,5,16.2
Cubic,MagpieData avg_dev Column,0.010128364338565602,0.0028635592417952938,0.0020620163063165236,0,5,17.4
Cubic,MagpieData range NdValence,0.009935908127657815,0.0030735607490940645,0.0024022074229297836,0,5,19.0
Cubic,MagpieData avg_dev NpValence,0.00845333281768654,0.0032936682168062297,0.0030094268633754214,0,5,21.6
Cubic,MagpieData avg_dev SpaceGroupNumber,0.007757255830499447,0.0007739713093752941,0.0037287265915880883,0,5,22.4
Cubic,MagpieData mean CovalentRadius,0.007754838587817767,0.003334620849547967,0.002491078462077865,0,5,24.2
Cubic,MagpieData mean NUnfilled,0.0071626176616416525,0.0027559428308130693,0.0015406046676609826,0,5,24.6
Cubic,MagpieData mean Column,0.006540237436551669,0.0031370529106361463,0.001870060386379141,0,5,29.6
Cubic,MagpieData range CovalentRadius,0.006151184401727475,0.005268265323003966,0.001497767625105125,0,5,36.6
Cubic,MagpieData mean Row,0.006042654112211041,0.00225592546049755,0.0021069966787456325,0,5,29.8
Cubic,MagpieData maximum NUnfilled,0.005909235774136068,0.002174472645947902,0.0010333029305621651,0,5,30.0
Cubic,MagpieData avg_dev GSbandgap,0.005889278287103919,0.0035393155044717126,0.0019074025166539617,0,5,33.0
Cubic,MagpieData avg_dev Row,0.005820957870131562,0.002535658770216146,0.0010105164673570367,0,5,31.4
Cubic,MagpieData mean Number,0.005407817990350337,0.001674043824952236,0.0011701836133175534,0,5,30.8
